"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2016","4165","NS2","Non Standard Session 2","LAW","LAW-B","531","4353","","Gjerdingen,Donald H.","24","25","3.304","3.304","100","16.7","83.3","0","0","1","0","1","3","15","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","NS1","Non Standard Session 1","LAW","LAW-B","639","15187","","Trumbo,Michelle Marie","10","11","3.71","3.334","100","90","0","10","0","1","1","6","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","09-16-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","513","10798","","Conkle,Daniel O.","63","67","3.311","3.346","100","31.7","66.7","1.6","0","4","0","5","15","23","12","7","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","513","11014","","Williams,David Clair","44","45","3.309","3.305","100","29.5","70.5","0","0","1","0","6","7","16","8","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","513","5191","","Sanders,Steve","54","55","3.304","3.294","98.2","20.4","79.6","0","0","1","1","2","8","28","13","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","519","30953","","Fisher,Thomas Molnar","12","15","3.525","3.437","100","50","50","0","0","3","0","2","4","5","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","521","8194","","Stake,Jeffrey E.","81","83","3.305","3.317","100","33.3","64.2","2.5","0","2","0","3","24","27","19","6","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","521","9673","","Krishnan,Jayanth K","79","81","3.29","3.307","100","32.9","62","5.1","0","2","0","3","23","27","17","5","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","526","30955","","Lederman,Leandra","12","14","3.533","3.397","100","58.3","41.7","0","0","2","0","3","4","2","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","532","30957","","Castanias,Gregory Andrew","9","10","3.511","3.38","100","44.4","55.6","0","0","1","0","3","1","3","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
